,Actor
1254,Jacob Lacy
1255,James Morrison
1256,Jason Spisak
1257,Jose Rosete
1258,Kelsey Bligh
1259,Leeann Dearing
1260,Michaela Dean
1261,Richard Dawkins
1262,Ryan Adelson
1263,Trương Ngọc Ánh
1264,Kim Ly
1265,Wallace Beery
1266,Bessie Love
1267,Virginia Brown Faire
1268,Bull Montana
1269,Barun Chanda
1270,Sampoornesh Babu
1271,Sanam Shetty
1272,Kandido Uranga
1273,Uma Bracaglia
1274,Eneko Sagardoy
1275,Ramón Agirre
1276,Josean Bengoetxea
1277,Gotzon Sánchez
1278,José Ramón Argoitia
1279,Gorka Aguinagalde
1280,Iñigo de la Iglesia
1281,Aitor Urtzelai
1282,Vikram Prabhu
1283,Sathyaraj
1284,Monal Gajjar
1285,Sathish
1286,Erode Mahesh
1287,Gaurav Narayanan
1288,Ry Barrett
1289,Colin Price
1290,Christina McInulty
1291,Nandamuri Balakrishna
1292,Nayanthara
1293,Akkineni Nageswara Rao
1294,Roja
1295,K. R. Vijaya
1296,Murali Mohan
1297,Jules Wojciechowski
1298,Roger Craig Smith
1299,Grant George
1300,David Lodge
1301,Lindsey Alena
1302,Sandy Fox
1303,Joey Lotsko
1304,Toyin Abraham
1305,Broda Shaggi
1306,Calabar Chic
1307,Munirat Antoinette Lecky
1308,Khafi Kareem
1309,Bukola Oshibowale
1310,Adebimpe Akintunde
1311,Temisan Emmanuel
1312,Olaniyi Afonja
1313,Sydney Egere
1314,Joe Taslim
1315,Iko Uwais
1316,Asha Kenyeri Bermudez
1317,Sunny Pang
1318,Salvita Decorte
1319,Abimana Aryasatya
1320,Zack Lee
1321,Dimas Anggara
1322,Julie Estelle
1323,Dian Sastrowardoyo
1324,Gary Cooper
1325,Walter Brennan
1326,Doris Davenport
1327,Héctor Noas
1328,Alejandro Palomino
1329,Yudexi de la Torre Mesa
1330,Candido Fabre
1331,Maria Ochoa
1332,Afro-Cuban All Stars
1333,Barbara Stanwyck
1334,Edward Arnold
1335,Spring Byington
1336,James Gleason
1337,Shun Oguri
1338,Mirai Moriyama
1339,Taichi Saotome
1340,Eiko Koike
1341,Ryo Katsuji
1342,Riisa Naka
1343,Shoko Takada
1344,Makoto Awane
1345,Masato Kono
1346,Tetsuya Chiba
1347,Nick McKinlay
1348,Paula Brancati
1349,Art Hindle
1350,Olga Kurylenko
1351,Marilyn Lima
1352,Michel Nabokoff
1353,Martin Swabey
1354,Carole Weyers
1355,Andrey Gorlenko
1356,Antonia Malinova
1357,Gabriel Almaer
1358,Blaise Afonso
1359,Guillaume Duhesme
1360,Michel Biel
1361,Mahie Gill
1362,Rajendra Gupta
1363,Brijendra Kala
1364,Jahangir Khan
1365,Zakir Hussain
1366,Dennis Hopper
1367,Linda Lawson
1368,Gavin Muir
1369,Luana Anders
1370,Madhavan
1371,Soha Ali Khan
1372,Kay Kay Menon
1373,Anand Goradia
1374,Vijay Maurya
1375,Vibhavari Deshpande
1376,Santosh Juvekar
1377,Kamlesh Sawant
1378,S. S. Rajendran
1379,C. R. Vijayakumari
1380,S. V. Ranga Rao
1381,A. V. M. Rajan
1382,Joan Blondell
1383,Roland Young
1384,Carole Landis
1385,Billie Burke
1386,Eddie 'Rochester' Anderson
1387,Frank Lovejoy
1388,William Talman
1389,José Torvay
1390,Emily VanCamp
1391,Ana Mulvoy-Ten
1392,Talia Balsam
1393,Patrick O'Brien
1394,Marc Maron
1395,Zach McGowan
1396,Pearl Thusi
1397,Nathan Jones
1398,Peter Mensah
1399,Katy Louise Saunders
1400,Mayling Ng
1401,Howard Charles
1402,Inge Beckmann
1403,Pushkar Jog
1404,Manasi Naik
1405,Sanjay Narvekar
1406,Makarand Anaspure
1407,Kishori Ambiye
1408,Abhiram Bhadkamkar
1409,Vijay Chavan
1410,Bharat Jadhav
1411,Siddarth Jadhav
1412,Rasika Joshi
1413,Mahesh Kothare
1414,Santosh Pawar
1415,Aditya Redij
1416,Sanjiv Talpade
1417,Yohana Vachhani
1418,Benjamín Vicuña
1419,Gastón Pauls
1420,Alfredo Castro
1421,Francisca Imboden
1422,Héctor Noguera
1423,María Izquierdo
1424,Willy Semler
1425,Alejandro Trejo
1426,Mateo Iribarren
1427,Marcial Tagle
1428,Paulina Urrutia
1429,Sommore
1430,Matt Mercer
1431,Kalan Ray
1432,Brandon Walz
1433,Joanna Sotomura
1434,Cary Grant
1435,Rosalind Russell
1436,Ralph Bellamy
1437,Gene Lockhart
1438,Porter Hall
1439,Edward G. Robinson
1440,Lon McCallister
1441,Judith Anderson
1442,Rory Calhoun
1443,Allene Roberts
1444,Julie London
1445,Keith David
1446,Bryan Batt
1447,Alexandria Deberry
1448,Bill Martin Williams
1449,Martin Bats Bradford
1450,Kendrick Cross
1451,Jasmine Akakpo
1452,Kedrick Brown
1453,Raymond Massey
1454,Edward Chapman
1455,Ralph Richardson
1456,Margaretta Scott
1457,Cedric Hardwicke
1458,Kareena Kapoor
1459,Govind Namdeo
1460,Sanjay Suri
1461,Mugdha Godse
1462,Shahana Goswami
1463,Lillete Dubey
1464,Victor Tomasino
1465,John Lee Ames
1466,Eloy Mendez
1467,Stacey Knock
1468,Eddie Fleming
1469,Octavia Spencer
1470,Jillian Estell
1471,Bill Burr
1472,Mpho Koaho
1473,Anthony Mackie
1474,Jennifer Ehle
1475,André Holland
1476,Gillian Jacobs
1477,Paula Newsome
1478,Jasmine Alexander
1479,Michael Guinn
1480,Lucretia Johnson
1481,Leola Gross-Gibson
1482,Joy Hawley
1483,Trend
1484,Janell Sharpe
1485,Miss Tee
1486,Kevin Ekstrom
1487,Kyra Turner
1488,Lamonte Hawley
1489,Anthony Paul Jr.
1490,Jacquil B. Wright
1491,King Sylvester
1492,Angelis Luxx
1493,Lexi Giovagnoli
1494,Adam Hagenbuch
1495,Christian Brunetti
1496,Ciara Flynn
1497,Cameron Richardson
1498,Catherine Hicks
1499,Ronnie Coleman
1500,Venkatesh
1501,Priyamani
1502,Rao Ramesh
1503,Karthik Rathnam
1504,Ammu Abhirami
1505,Rajeev Kanakala
1506,Jayasurya
1507,Indrajith
1508,Asif Ali
1509,Lal
1510,Bhama
1511,Ramya Nambeeshan
1512,Rima Kallingal
1513,Praveena
1514,Callum Blue
1515,Nadine Velazquez
1516,Makenzie Moss
1517,Erik LaRay Harvey
1518,Joe Keery
1519,Maggie Gyllenhaal
1520,Parker Sevak
1521,Gael García Bernal
1522,Michael Chernus
1523,Anna Baryshnikov
1524,Rosa Salazar
1525,Ajay Naidu
1526,Sammi Rotibi
1527,John Berchtold
1528,Shianne Daye
1529,James L. Edwards
1530,Drew Fortier
1531,Rick Jermain
1532,Kaylee Williams
1533,Rachan Chandra
1534,Vedhika
1535,Prakash Raj
1536,Álvaro Cervantes
1537,Susana Abaitua
1538,Luis Zahera
1539,Clara Segura
1540,Aixa Villagrán
1541,Paula Malia
1542,Nil Cardoner
1543,Txell Aixendri
1544,Alberto San Juan
1545,Heinz Trixner
1546,Christian Futterknecht
1547,Uschi Glas
1548,Sandra Lipp
1549,Julius Kuhn
1550,Akshay Kumar
1551,Bhumi Pednekar
1552,Divyendu Sharma
1553,Atul Srivastava
1554,Anupam Kher
1555,Ayesha Raza Mishra
1556,Mukesh S Bhatt
1557,Shubha Khote
1558,Sudhir Pandey
1559,Sophie Marceau
1560,Julie Depardieu
1561,Déborah François
1562,Marie Gillain
1563,Maya Sansa
1564,Justin Furstenfeld
1565,Sarah Furstenfeld
1566,Jeremy Furstenfeld
1567,Dan Furstenfeld
1568,Rokie Furstenfeld
1569,Matt Noveskey
1570,Ryan Delahoussaye
1571,Charles B. Hudson III
1572,Paul Nugent
1573,Swin Swinford
1574,Missi Callazzo
1575,Jessie Jessup
1576,Ayushmann Khurrana
1577,Kriti Sanon
1578,Rajkummar Rao
1579,Pankaj Tripathi
1580,Seema Pahwa
1581,Rohit Chaudhury
1582,Swati Semwal
1583,Thomas Jane
1584,Ving Rhames
1585,Elsa Pataky
1586,Leland Orser
1587,Unax Ugalde
1588,Isaach De Bankolé
1589,Iseo
1590,Sergi López
1591,Jorge Perugorría
1592,Angelo Moore
1593,Maria de Medeiros
1594,Richard Basehart
1595,Scott Brady
1596,Roy Roberts
1597,Whit Bissell
1598,James Cardwell
1599,Chazz Palminteri
1600,Luis Guzmán
1601,Cyndi Lauper
1602,Danny Aiello
1603,Lucie Arnaz
1604,Gene Autry
1605,Champion
1606,Gail Davis
1607,Sridevi
1608,Akshaye Khanna
1609,Sajal Ali
1610,Adnan Siddiqui
1611,Pitobash
1612,Vikas Verma
1613,Sonam Kapoor
1614,Radhika Apte
1615,Jyoti Subhash
1616,Urmila Mahanta
1617,Sanjay Singh
1618,Rakesh Chaturvedi Om
1619,Kevin Quinn
1620,Bailee Madison
1621,Jahbril Cook
1622,Kat Conner Sterling
1623,Sherri Shepherd
1624,David Koechner
1625,Iain Tucker
1626,Amy Grant
1627,Kristian De La Osa
1628,Frances McDormand
1629,Nigel Hawthorne
1630,Hatty Jones
1631,Rachel Dennis
1632,Pilar Garrard
1633,Harshvardhan Kapoor
1634,Priyanshu Painyuli
1635,Ashish Verma
1636,Shreiya Sabharwal
1637,Pratap Phad
1638,Chinmayee Mandlekar
1639,Nishikant Kamat
1640,Brent Butt
1641,Amy Smart
1642,David Cubitt
1643,Dan Payne
1644,Ali Fazal
1645,Melanie Chandra
1646,Amitosh Nagpal
1647,Omi Vaidya
1648,Samrat Chakrabarti
1649,Keith Stevenson
1650,Patrick Huard
1651,Julie LeBreton
1652,Antoine Bertrand
1653,Rob Stefaniuk
1654,Dave Foley
1655,Paul Anthony
1656,Mike Lobel
1657,Chris Norton
1658,Anthony Michael Hall
1659,Justine Bateman
1660,David Cross
1661,Will Ferrell
1662,Paul Anderson
1663,Calum MacNab
1664,Daniel Mays
1665,Kyra Sedgwick
1666,Helen Mirren
1667,Anne Bancroft
1668,Albert Brooks
1669,Colm Feore
1670,Leven Rambin
1671,Evan Ross
1672,Taylor Nichols
1673,Harold Perrineau
1674,Melora Walters
1675,Brett Davern
1676,Benoît Magimel
1677,Gringe
1678,Idir Chender
1679,Laura Smet
1680,Michaël Youn
1681,Dani
1682,Patrick Catalifo
1683,Gérard Depardieu
1684,Ana Golja
1685,Zack Peladeau
1686,Cheri Oteri
1687,Gerolamo Alchieri
1688,Nanni Baldini
1689,Christopher R. Burns
1690,Michael Colasurdo
1691,Richard M. Davidson
1692,Nicholas Corda
1693,Sylvana Joyce
1694,Alyson Leigh Rosenfeld
1695,Courtney Shaw
1696,Erica Schroeder
1697,Georgette Timoney
1698,Mary O'Brady
1699,Marc Thompson
1700,Maurandis Berger
1701,Unique Alexander
1702,Antonio Maldonado
1703,Hunney Bryant
1704,Holly Shew
1705,Sheneefah Johnson
1706,Geetanjali Thapa
1707,Zain Khan Durrani
1708,Shray Rai Tiwari
1709,Mona Ambegaonkar
1710,Chandreyee Ghosh
1711,Saheb Bhattacharjee
1712,Shefali Chauhan
1713,David Lee
1714,Monica Sosa
1715,Michelle Johnson
1716,Tameka Williams
1717,Janson Williams
1718,Kelly Johnson
1719,Mary Ann Lee
1720,Michael Johnson
1721,Ricky Sosa
1722,Stacy
1723,Misia Lovegood
1724,Patrick Gerber
1725,Leah Beaudry
1726,Iain Robertson
1727,Joseph McFadden
1728,JS Duffy
1729,Laura Fraser
1730,Clare Higgins
1731,Caitlyn Folley
1732,Ian Duncan
1733,Chris Coy
1734,Diana Garcia
1735,Chinonso Young
1736,Ifeanyi Kalu
1737,Chris Okagbue
1738,Bethel Njoku (Senator Comedian)
1739,Cynthia Shalom
1740,Eric Obinna
1741,Phil Eriabie
1742,Lorna Onuoha
1743,Favour Oma
1744,DJ Izy Beatz
1745,Joy Anyim
1746,Jude Orhorha
1747,Ada Onyekpa
1748,Chris Iheuwa
1749,Dustin Rhodes
1750,Thom Hallum
1751,Arthur RedCloud
1752,Katy Harris
1753,Billy Blair
1754,Chris Kattan
1755,Raquel Gardner
1756,Viveca Paulin
1757,Eva Mendes
1758,Michael Clarke Duncan
1759,Jennifer Coolidge
1760,Lochlyn Munro
1761,Molly Shannon
1762,Elisa Donovan
1763,Theo Stevenson
1764,Akai Osei
1765,Ashley Jensen
1766,Fleur Houdijk
1767,Dominic Herman-Day
1768,Sanya Malhotra
1769,Sayani Gupta
1770,Ashutosh Rana
1771,Raghuvir Yadav
1772,Shruti Sharma
1773,Sheeba Chaddha
1774,Rajesh Tailang
1775,Meghna Malik
1776,Jameel Khan
1777,Chetan Sharma
1778,Ananya Khare
1779,Bhupesh Pandya
1780,Lou Diamond Phillips
1781,Dina Meyer
1782,Bob Gunton
1783,Leon
1784,Carlos Jacott
1785,Stanton Friedman
1786,Kathleen Marden
1787,Travis Walton
1788,Dean Alioto
1789,Stephen Bassett
1790,Barney Hill
1791,Betty Hill
1792,Bella Thorne
1793,Frank Grillo
1794,Aaron Tveit
1795,François Arnaud
1796,Mahesh Babu
1797,Rakul Preet Singh
1798,S.J. Surya
1799,Bharath Srinivasan
1800,Priyadarshi Pullikonda
1801,RJ Balaji
1802,Scott Bakula
1803,Kevin J. O'Connor
1804,Daniel Von Bargen
1805,Famke Janssen
1806,Vincent Schiavelli
1807,Logan Bartholomew
1808,Kelsey Sanders
1809,C.R. Lewis
1810,Alia Bhatt
1811,Arjun Kapoor
1812,Ronit Roy
1813,Amrita Singh
1814,Revathy
1815,Aru Krishansh Verma
1816,Sedky Sakhr
1817,Hashem El Garhy
1818,Shahira Kamal
1819,Aiemzy
1820,Hani R. Eskander
1821,Saif Abu-Kandil
1822,Clara Bernadeth
1823,Giorgino Abraham
1824,Kevin Ardilova
1825,Nugie
1826,Kinaryosih
1827,Marthino Lio
1828,Djenar Maesa Ayu
1829,Ernanto Kusuma
1830,Sacha Stevenson
1831,Matt Dillon
1832,Paul Walker
1833,Chris Brown
1834,Idris Elba
1835,Jay Hernandez
1836,Hayden Christensen
1837,Michael Ealy
1838,T.I.
1839,Marianne Jean-Baptiste
1840,Zoe Saldana
1841,Steve Harris
1842,Johnathon Schaech
1843,Sheena Colette
1844,Emilie Paap
1845,Theodore Bouloukos
1846,Paul Michael Draper
1847,Chad Michael Collins
1848,Dennis Haysbert
1849,Nick Gomez
1850,Ravil Isyanov
1851,Stephanie Vogt
1852,Navid Negahban
1853,Presciliana Esparolini
1854,Enoch Frost
1855,Michael Peña
1856,Lizzy Caplan
1857,Israel Broussard
1858,Mike Colter
1859,Emma Booth
1860,Lex Shrapnel
1861,Erica Tremblay
1862,Lilly Aspell
1863,Koji Yamamoto
1864,Songha
1865,Ryo
1866,Munetaka Aoki
1867,Nana Seino
1868,Yoshimasa Kondo
1869,Arata Furuta
1870,Priyanka Yadav
1871,Bharti Achrekar
1872,Sonali Bendre
1873,Dilip Prabhavalkar
1874,Tejaswini Pandit
1875,Shubhangi Gokhale
1876,Suhas Joshi
1877,Mandar Shinde
1878,Vinay Yedekar
1879,Raúl Arévalo
1880,Aura Garrido
1881,Hugo Arbues
1882,Belén Cuesta
1883,Antonio Dechent
1884,Aitor Luna
1885,Sergio Mur
1886,Jim Gaffigan
1887,Zendaya
1888,Lance Lim
1889,Greg Proops
1890,Reggie Watts
1891,Carl Reiner
1892,Jennifer Grey
1893,Stephen Fry
1894,Diedrich Bader
1895,Natasha Leggero
1896,Craig Ferguson
1897,Rick Overton
1898,David Spade
1899,Joey Bragg
1900,Matt Shively
1901,Bridgit Mendler
1902,Jackie Sandler
1903,Mary Gillis
1904,Emily Killian
1905,Anthony Jensen
1906,Tom Sizemore
1907,Michael Devorzon
1908,Emma Nasfell
1909,Deangelo Davis
1910,Paulina Nguyen
1911,Vishnu Manchu
1912,Kajal Aggarwal
1913,Suniel Shetty
1914,Naveen Chandra
1915,Navdeep
1916,Harsha
1917,Mahima Makwana
1918,Karma McCain
1919,Ruhi Singh
1920,Raúl Fernández
1921,Fele Martínez
1922,Juanma Cifuentes
1923,Hovik Keuchkerian
1924,Albert Ribalta
1925,Jordi Vilches
1926,Adrián Lastra
1927,Raquel Salvador
1928,Marta Brucart
1929,Betsy Turnez
1930,Juan Diego
1931,Sienna Miller
1932,Guy Pearce
1933,Jimmy Fallon
1934,Mary Elizabeth Winstead
1935,Michael Jai White
1936,Adrianne Palicki
1937,Ty Olsson
1938,Kyra Zagorsky
1939,Olivia Cheng
1940,Lisa Chandler
1941,Monique Ganderton
1942,Matthew Marsden
1943,Chris Gauthier
1944,Ben Chaplin
1945,Douglas Henshall
1946,Rachel Hurd-Wood
1947,Fiona Shaw
1948,Emilia Fox
1949,Max Irons
1950,Pip Torrens
1951,Caroline Goodall
1952,Maryam d'Abo
1953,Johnny Harris
1954,Jo Woodcock
1955,Michael Culkin
1956,ABHINAV KUMAR
1957,VERSA RITTU
1958,SHASHI BHUSAN
1959,RAMAN GUPTA
1960,RAJ SINHA
1961,RAM BABU
1962,Derek Jacobi
1963,Arthur Malet
1964,Dom DeLuise
1965,Elizabeth Hartman
1966,Hermione Baddlely
1967,Wil Wheaton
1968,Shannen Doherty
1969,Ian Fried
1970,Jodi Hicks
1971,John Carradine
1972,Will Hutchins
1973,Millie Perkins
1974,Jack Nicholson
1975,Taito Ban
1976,Mariya Ise
1977,Minako Kotobuki
1978,Haruka Shiraishi
1979,Hiroki Yasumoto
1980,Takeo Otsuka
1981,Ikumi Hasegawa
1982,Takayuki Nakatsukasa
1983,Viktotiya Potemina
1984,Anastasiya Gribova
1985,Margarita Bychkova
1986,Collin MacKechnie
1987,Julia Sarah Stone
1988,Amy Matysio
1989,Irfan Khan
1990,Raju
1991,Sanath Menon
1992,Rohan Grover
1993,Naman Jain
1994,Aarav Khanna
1995,Vishesh Tiwari
1996,Chinmai Chandranshuh
1997,Vedant Desai
1998,Shriya Sharma
1999,Divji Handa
2000,Arbaaz Khan
2001,Arjan Bajwa
2002,Raj Babbar
2003,Samir Soni
2004,Hrithik Roshan
2005,Shernaz Patel
2006,Aditya Roy Kapoor
2007,Nafisa Ali
2008,Monikangana Dutta
2009,Suhel Seth
2010,Ash Chandler
2011,Vijay Crishna
2012,Somchai Kemglad
2013,Shahkrit Yamnarm
2014,Leo Putt
2015,Athip Nana
2016,Ray MacDonald
2017,Kemapsorn Sirisukha
2018,Pongpat Wachirabunjong
2019,Willem Dafoe
2020,Rupert Friend
2021,Oscar Isaac
2022,Mads Mikkelsen
2023,Mathieu Amalric
2024,Emmanuelle Seigner
2025,Niels Arestrup
2026,Anne Consigny
2027,Amira Casar
2028,Vincent Perez
2029,Lolita Chammah
2030,Stella Schnabel
2031,Vladimir Consigny
2032,Imran Khan
2033,Sammir Dattani
2034,Kavin Dave
2035,Bruna Abdullah
2036,Jim Carrey
2037,Bradley Cooper
2038,John Michael Higgins
2039,Rhys Darby
2040,Danny Masterson
2041,Fionnula Flanagan
2042,Terence Stamp
2043,Sasha Alexander
2044,Molly Sims
2045,Menahem Lang
2046,Sonakshi Sinha
2047,Nasser
2048,Paresh Ganatra
2049,Gurdip Kohli
2050,Mushtaq Khan
2051,Amit Kumar Tiwari
2052,Jean-Claude Van Damme
2053,Heidi Schanz
2054,Xander Berkeley
2055,Justin Lazard
2056,Kiana Tom
2057,Daniel von Bargen
2058,James Black
2059,Karis Paige Bryant
2060,Bill Goldberg
2061,Lucille Ball
2062,Daphne Zuniga
2063,William Converse-Roberts
2064,Stephen Lang
2065,Susan Batson
2066,Pankaj Kapur
2067,Shreya Sharma
2068,Dolly Ahluwalia
2069,Deepak Dobriyal
2070,Rahul Kumar
2071,Paramjit Singh Kakran
2072,Piu Dutt
2073,Samrat Mukherjee
2074,Mora Arenillas
2075,Mara Bestelli
2076,Diego Cremonesi
2077,Vishwa Bhanu
2078,Sangam Shukla
2079,Vijay Thakur
2080,Vanya
2081,Michelle Krusiec
2082,Joan Chen
2083,Lynn Chen
2084,Jessica Hecht
2085,Ato Essandoh
2086,Hoon Lee
2087,Kunal Kapoor
2088,Huma Qureshi
2089,Vinod Nagpal
2090,Rahul Bagga
2091,Rajendra Sethi
2092,Munish Makhija
2093,Herry Tangri
2094,Orlando Bloom
2095,Janet Montgomery
2096,Charlie Creed-Miles
2097,Deborah Rock
2098,Pooja Hegde
2099,Girish Karnad
2100,Anupama Kumar
2101,Selvaah
2102,Prasenjit Chatterjee
2103,Sabyasachi Chakrabarty
2104,Indrani Haldar
2105,Minar Malhotra
2106,Urvashi S Sharma
2107,Samie Deol
2108,Bob Bassi
2109,Remmi
2110,Gabriel Sunday
2111,Mariel Hemingway
2112,Nora Dunn
2113,Zachary Ray Sherman
2114,Vanessa Lengies
2115,Tony Hale
2116,Joe Mantegna
2117,Vishal
2118,Lakshmi Menon
2119,Saranya Ponvannan
2120,Sunder Ramu
2121,Jagan
2122,Iniya
2123,Chetan Cheenu
2124,Huang Xuan
2125,Yang Caiyu
2126,RIDHIMA GHOSH
2127,GOURAV CHAKRABORTY
2128,SASWATA CHATTERJEE
2129,Alan Rocha
2130,Sippy Gill
2131,Ihana Dhillon
2132,Deedar GIll
2133,Rahul Jugraj
2134,Virender Nath Lubana
2135,Aneeta
2136,Soumitra Chatterjee
2137,Arun Mukherjee
2138,Sujan Mukherjee
2139,Akshay Oberoi
2140,Parvathy Omanakuttan
2141,Arunoday Singh
2142,Dipannita Sharma
2143,Omkar Das Manikpuri
2144,Hussain Dalal
2145,D. Santosh
2146,Saif Ali Khan
2147,Katrina Kaif
2148,Bipasha Basu
2149,Anil Kapoor
2150,Sameera Reddy
2151,Guillermo Ivan
2152,Kimberley Aria Peterson
2153,Huitzil Sol
2154,Rudy Miera
2155,Chadwick Boseman
2156,Dan Aykroyd
2157,Viola Davis
2158,Lennie James
2159,Fred Melamed
2160,Craig Robinson
2161,Jill Scott
2162,Jacinte Blankenship
2163,Jagapathi Babu
2164,Amy Jackson
2165,Lakshmi Rai
2166,Shiloh Fernandez
2167,Amber Heard
2168,Brittany Snow
2169,Kellan Lutz
2170,Sayuri Matsumura
2171,Ito Ono
2172,Hayato Onozuka
2173,Jackie Shroff
2174,Sohail Khan
2175,Diya Mirza
2176,Nauheed Cyrusi
2177,Sharat Saxena
2178,Vishwajeet Pradhan
2179,Sarfaraz Khan
2180,Diljit Dosanjh
2181,Sonam Bajwa
2182,Monica Gill
2183,Jaswinder Bhalla
2184,Amritpal Chotu
2185,Dev Gill
2186,Anjana Sukhani
2187,Mandy Takhar
2188,Steve Martin
2189,John Cleese
2190,Graham Chapman
2191,Terry Gilliam
2192,Terry Jones
2193,Michael Palin
2194,Carol Cleveland
2195,Connie Booth
2196,Guggu Gill
2197,Sonia Mann
2198,Jimmy Sharma
2199,Sapna Bassi
2200,Lakha Lakhwinder Singh
2201,Sandeep Kaur Sandy
2202,Adesh Bhardwaj
2203,Rasika Dugal
2204,Joy Fernandes
2205,Ravi Kale
2206,Ishtiyak Khan
2207,Priyanka Kothari
2208,Kali Prasad Mukherjee
2209,Nitin Reddy
2210,Gautam Rode
2211,Howard Rosemeyer
2212,Suriya
2213,Samantha Ruth Prabhu
2214,Vidyut Jammwal
2215,Manoj Bajpayee
2216,Soori
2217,Sedef Avcı
2218,Cemal Hünal
2219,Begüm Kütük
2220,Engin Altan Düzyatan
2221,Sinem Kobal
2222,Gürgen Öz
2223,Burcu Kara
2224,Kubilay Penbeklioğlu
2225,Gurdas Maan
2226,Neeru Bajwa
2227,Jassi Gill
2228,Rajiv Thakur
2229,Khushdeed Maan
2230,Manav Vij
2231,Raj Jhinger
2232,Shruti Sodhi
2233,Meher Vij
2234,Antony Varghese
2235,Vinayakan
2236,Chemban Vinod Jose
2237,Tito Wilson
2238,Sinoj Varghese
2239,Aswathy Manoharan
2240,Courtney Arlett
2241,Maria Acero
2242,Michelle Acero
2243,Kofi Adams
2244,King Amir
2245,Yano Anaya
2246,Selena Anduze
2247,Quincy Bonds
2248,Lauren Boyd
2249,Jarneen Brown
2250,William Chaney
2251,Rutu Chaudhari
2252,Renae Dae
2253,Jamie Dion
2254,Thomas Elliott
2255,Eric Esquer
2256,Justin Franklin
2257,Dezi Gregory
2258,Michelle Hammonds
2259,Byron Jeans
2260,Maria Liatis
2261,Tip Lyvette
2262,Sharan C. Mansfield
2263,Shakyrah Nichole
2264,Kayla Perry
2265,Kevin Porter
2266,Katrina Rhodes
2267,Chloe Sigur
2268,Kynnedi Smith
2269,Mike R. Tinker
2270,Mac Wells
2271,Sabrina C. Williams
2272,Zerrick Williams
2273,Michelle Zhuang
2274,Ranbir Kapoor
2275,Saurabh Shukla
2276,Saswata Chatterjee
2277,Rajatabha Dutta
2278,Saravajeet Tiwari
2279,Gippy Grewal
2280,Gurpreet Guggi
2281,Zarine Khan
2282,Elín Sif Halldórsdóttir
2283,Kristín Þóra Haraldsdóttir
2284,Eyrún Björk Jakobsdóttir
2285,Lára Jóhanna Jónsdóttir
2286,Þorsteinn Bachmann
2287,Ólafur Darri Ólafsson
2288,Tommy Kirk
2289,Yvonne Craig
2290,Warren Hammack
2291,Tony Huston
2292,Larry Tanner
2293,Cal Duggan
2294,Pat Delaney
2295,Sherry Roberts
2296,Donna Lindberg
2297,Bubbles Cash
2298,Byron Lord
2299,Roger Ready
2300,Barnett Shaw
2301,Neil Fletcher
2302,Chet Davis
2303,Ron Scott
2304,George Edgley
2305,Dick Simpson
2306,Don Campbell
2307,Bob Hazlett
2308,Ann Palmer
2309,Gordon Bulow
2310,Bill Thurman
2311,Patrick Cranshaw
2312,Claude Earls
2313,Sally Casey
2314,Bob Lorenz
2315,Sylvia Rundell
2316,David England
2317,Terry Davis
2318,Larry Buchanan
2319,Aaron Jakubenko
2320,Kevin Sorbo
2321,Wade Briggs
2322,Sarah Hassan
2323,Stycie Waweru
2324,Mawuli Gavor
2325,Pierra Makena
2326,Eve D'Souza
2327,Christabel Jazz Mistri
2328,Martin Githinji
2329,Lydia Gitachu
2330,Kagwe Mungai
2331,Blessing Lung'Aho
2332,Pinchao Guo
2333,Kang Ning
2334,Nicole D'Angelo
2335,James Duval
2336,Jamie Bernadette
2337,Elana Krausz
2338,Sal Landi
2339,Lisa London
2340,Steve Polites
2341,Christo Dimassis
2342,Rich Mallery
2343,Kevin T. Oliver
2344,Ryan Heumier
2345,Hanleigh Baker
2346,Buddy Campbell
2347,Caitlyn Bailey
2348,Cj Bernard
2349,Miracle Davis
2350,Kyndall Hamilton
2351,Brittany Sparkles
2352,Amielynn Woodall
2353,Ashley Brewer
2354,Taylor Bell
2355,Temre Morgan
2356,Holly Petty
2357,Amie Bishop
2358,Jade Michael LaFont
2359,Phil Giourousis
2360,John Vasiliou
2361,Graham Vowell
2362,Kristina Castle
2363,Jerryl Davis
2364,Louie 'Dragonfly' Cruz
2365,Bailey Freeman
2366,Emmi Mullen
2367,Joshua Probus
2368,Elijah Lee Seymour
2369,Jonathan Nahlen
2370,Brandon Jay
2371,Cindy Riley-Parker
2372,Leslie Huntsman
2373,Dylan 'Ace' Caples
2374,Bailee Wyatt
2375,Kendra King
2376,Elizabeth Jay
2377,Courtney Akins
2378,Ranjit Bawa
2379,Elnaaz Norouzi
2380,Mahavir Bhullar
2381,Sukhbir Singh
2382,Jatinder Lall
2383,Punam Randhawa
2384,Bhavkhandan Singh Rakhra
2385,Jas Heer
2386,Ali Kazmi
2387,Anita Kailey
2388,Ben Mendelsohn
2389,Sophie Lowe
2390,Maeve Dermody
2391,Loyiso Gola
2392,Ken Jeong
2393,Steve Byrne
2394,Bobby Lee
2395,Kevin Shea
2396,Scarlett Jaimes
2397,Liliana Trujillo
2398,Abhay Mahajan
2399,Edie Falco
2400,Connie Britton
2401,Thomas Mann
2402,Bill Camp
2403,Elizabeth Marvel
2404,Charlie Tahan
2405,Michael Gaston
2406,Josh Pais
2407,Ricki Stern
2408,Annie Sundberg
2409,Alessandro Borghi
